    PID TTY      STAT   TIME COMMAND
   5543 ?        Rl     2:29 /usr/share/code/code --type=utility --utility-sub-type=node.mojom.NodeService --lang=es --service-sandbox-type=none --dns-result-order=ipv4first --inspect-port=0 --crashpad-handler-pid=5402 --enable-crash-reporter=5cc31211-7a24-4340-a84b-f5c0e9b9b4e5,no_channel --user-data-dir=/home/dam/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,14444870545289459185,16667300942244002503,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
   6294 ?        Sl     0:00 /usr/share/code/code /home/dam/.vscode/extensions/mtxr.sqltools-0.28.5/dist/languageserver.js --node-ipc --clientProcessId=5543
   6676 ?        S      0:00 /bin/sh -c "/home/dam/.vscode/extensions/vscjava.vscode-gradle-3.17.0/lib/gradle-server" "--port=40803" "--startBuildServer=true" "--languageServerPipePath=/run/user/1001/07d9139484c2083ce21043af811efad9.sock" "--pipeName=/run/user/1001/75df89eae9719289dde512b079b6296b.sock" "--bundleDir=/home/dam/.vscode/extensions/vscjava.vscode-gradle-3.17.0/server"
   6677 ?        Sl     0:06 /home/dam/.vscode/extensions/redhat.java-1.46.0-linux-x64/jre/21.0.8-linux-x86_64/bin/java -Dfile.encoding=UTF-8 --add-opens=java.base/java.util=ALL-UNNAMED --add-opens=java.base/java.lang=ALL-UNNAMED --add-opens=java.base/java.lang.invoke=ALL-UNNAMED --add-opens=java.prefs/java.util.prefs=ALL-UNNAMED --add-opens=java.base/java.nio.charset=ALL-UNNAMED --add-opens=java.base/java.net=ALL-UNNAMED --add-opens=java.base/java.util.concurrent.atomic=ALL-UNNAMED -classpath /home/dam/.vscode/extensions/vscjava.vscode-gradle-3.17.0/lib/gradle-server.jar com.github.badsyntax.gradle.GradleServer --port=40803 --startBuildServer=true --languageServerPipePath=/run/user/1001/07d9139484c2083ce21043af811efad9.sock --pipeName=/run/user/1001/75df89eae9719289dde512b079b6296b.sock --bundleDir=/home/dam/.vscode/extensions/vscjava.vscode-gradle-3.17.0/server
   6821 ?        Sl     0:00 /usr/share/code/code /home/dam/.vscode/extensions/redhat.vscode-yaml-1.19.1/dist/languageserver.js --node-ipc --clientProcessId=5543
   6951 ?        Sl     3:01 /home/dam/.vscode/extensions/redhat.java-1.46.0-linux-x64/jre/21.0.8-linux-x86_64/bin/java --add-modules=ALL-SYSTEM --add-opens java.base/java.util=ALL-UNNAMED --add-opens java.base/java.lang=ALL-UNNAMED --add-opens java.base/sun.nio.fs=ALL-UNNAMED -Declipse.application=org.eclipse.jdt.ls.core.id1 -Dosgi.bundles.defaultStartLevel=4 -Declipse.product=org.eclipse.jdt.ls.core.product -Djava.import.generatesMetadataFilesAtProjectRoot=false -DDetectVMInstallationsJob.disabled=true -Dfile.encoding=utf8 -XX:+UseParallelGC -XX:GCTimeRatio=4 -XX:AdaptiveSizePolicyWeight=90 -Dsun.zip.disableMemoryMapping=true -Xmx2G -Xms100m -Xlog:disable -javaagent:/home/dam/.vscode/extensions/redhat.java-1.46.0-linux-x64/lombok/lombok-1.18.39-4050.jar -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/home/dam/.config/Code/User/workspaceStorage/0585bbb0c416a169c70a501b471ced37/redhat.java -Daether.dependencyCollector.impl=bf -jar /home/dam/.vscode/extensions/redhat.java-1.46.0-linux-x64/server/plugins/org.eclipse.equinox.launcher_1.7.0.v20250519-0528.jar -configuration /home/dam/.config/Code/User/globalStorage/redhat.java/1.46.0/config_linux -data /home/dam/.config/Code/User/workspaceStorage/0585bbb0c416a169c70a501b471ced37/redhat.java/jdt_ws --pipe=/run/user/1001/lsp-153f33d411c30889a7d06843e383cedb.sock
   7141 ?        Sl     0:00 /usr/libexec/gvfsd-mtp --spawner :1.32 /org/gtk/gvfs/exec_spaw/3
  19078 ?        Sl     0:00 /usr/libexec/gvfsd-network --spawner :1.32 /org/gtk/gvfs/exec_spaw/4
  19096 ?        Sl     0:00 /usr/libexec/gvfsd-dnssd --spawner :1.32 /org/gtk/gvfs/exec_spaw/6
  21153 ?        I      0:00 [kworker/1:2-events]
  21159 ?        Ssl    0:01 /usr/libexec/fwupd/fwupd
  25016 ?        I      0:00 [kworker/2:0-events]
  30877 ?        I      0:00 [kworker/0:2-events]
  30879 ?        I      0:00 [kworker/7:2-events]
  31513 ?        I      0:00 [kworker/9:2-events]
  32139 ?        I      0:00 [kworker/u66:0-events_power_efficient]
  35992 ?        I      0:00 [kworker/5:1-events]
  36792 ?        I      0:00 [kworker/4:2-mm_percpu_wq]
  37006 ?        I      0:00 [kworker/10:1-mm_percpu_wq]
  37642 ?        I      0:00 [kworker/6:0-events]
  37697 ?        I      0:01 [kworker/u66:1-events_power_efficient]
  37903 ?        I      0:00 [kworker/8:0-events_freezable]
  39827 ?        Sl     0:04 /usr/lib/firefox/firefox-bin -contentproc -isForBrowser -prefsHandle 0:41180 -prefMapHandle 1:272869 -jsInitHandle 2:245828 -parentBuildID 20250522210034 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {dfe81f03-64d1-4efa-99ec-c771bb553efa} -parentPid 4341 -crashReporter 6 -crashHelperPid 4346 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appDir /usr/lib/firefox/browser 29 tab
  40195 ?        Sl     0:05 /usr/lib/firefox/firefox-bin -contentproc -isForBrowser -prefsHandle 0:41180 -prefMapHandle 1:272869 -jsInitHandle 2:245828 -parentBuildID 20250522210034 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {fc4c9509-037c-4095-b150-e185c5f9742f} -parentPid 4341 -crashReporter 6 -crashHelperPid 4346 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appDir /usr/lib/firefox/browser 30 tab
  40461 ?        I<     0:00 [kworker/u69:2-ttm]
  48504 ?        S      0:00 socat -T 60 openssl-connect:server:789,cafile=/etc/epoptes/server.crt,openssl-no-sni,openssl-commonname="",interval=60,forever EXEC:bash -c \"exec -a epoptes-client sh\"
  48508 ?        S      0:00 socat -T 60 openssl-connect:server:789,cafile=/etc/epoptes/server.crt,openssl-no-sni,openssl-commonname="",interval=60,forever EXEC:bash -c \"exec -a epoptes-client sh\"
  50311 ?        I      0:00 [kworker/3:0-events]
  50564 ?        I      0:00 [kworker/11:1-events]
  51314 ?        I      0:00 [kworker/2:2-rcu_par_gp]
  52172 ?        I      0:00 [kworker/0:1-inet_frag_wq]
  53490 ?        Sl     0:02 /usr/lib/firefox/firefox-bin -contentproc -isForBrowser -prefsHandle 0:41181 -prefMapHandle 1:272869 -jsInitHandle 2:245828 -parentBuildID 20250522210034 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {ccbfaa9b-c50d-44b4-a2fb-5823b05288de} -parentPid 4341 -crashReporter 6 -crashHelperPid 4346 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appDir /usr/lib/firefox/browser 32 tab
  53869 ?        I<     0:00 [kworker/u69:3-ttm]
  53905 ?        I<     0:00 [kworker/u68:2-ttm]
  53973 ?        Sl     0:03 /usr/lib/firefox/firefox-bin -contentproc -isForBrowser -prefsHandle 0:41181 -prefMapHandle 1:272869 -jsInitHandle 2:245828 -parentBuildID 20250522210034 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {000db23f-6160-404e-a28e-77f61b9473a2} -parentPid 4341 -crashReporter 6 -crashHelperPid 4346 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appDir /usr/lib/firefox/browser 33 tab
  54082 ?        Sl     1:39 /usr/lib/firefox/firefox-bin -contentproc -isForBrowser -prefsHandle 0:41181 -prefMapHandle 1:272869 -jsInitHandle 2:245828 -parentBuildID 20250522210034 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {e0fa808f-0c77-4dcc-b212-077d1c271ceb} -parentPid 4341 -crashReporter 6 -crashHelperPid 4346 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appDir /usr/lib/firefox/browser 34 tab
  54571 pts/0    Ss     0:00 /usr/bin/bash --init-file /usr/share/code/resources/app/out/vs/workbench/contrib/terminal/common/scripts/shellIntegration-bash.sh
  54960 ?        I      0:00 [kworker/4:0]
  56401 ?        Sl     0:00 /usr/lib/firefox/firefox-bin -contentproc -isForBrowser -prefsHandle 0:41181 -prefMapHandle 1:272869 -jsInitHandle 2:245828 -parentBuildID 20250522210034 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {0cde9707-4617-4601-9aac-793c92d60446} -parentPid 4341 -crashReporter 6 -crashHelperPid 4346 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appDir /usr/lib/firefox/browser 36 tab
  56843 ?        S      0:00 epoptes-client
  56846 ?        S      0:00 epoptes-client
  63863 ?        I      0:01 [kworker/u64:3-gfx_low]
  63970 ?        Sl     0:00 /usr/lib/firefox/firefox-bin -contentproc -isForBrowser -prefsHandle 0:41181 -prefMapHandle 1:272869 -jsInitHandle 2:245828 -parentBuildID 20250522210034 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {8460b952-d4d9-4b66-b250-b7f904ed3dc1} -parentPid 4341 -crashReporter 6 -crashHelperPid 4346 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appDir /usr/lib/firefox/browser 37 tab
  65258 ?        Sl     0:00 /usr/lib/firefox/firefox-bin -contentproc -isForBrowser -prefsHandle 0:41181 -prefMapHandle 1:272869 -jsInitHandle 2:245828 -parentBuildID 20250522210034 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {03f622e2-6648-4d64-8e75-df1ad83990f8} -parentPid 4341 -crashReporter 6 -crashHelperPid 4346 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appDir /usr/lib/firefox/browser 38 tab
  66288 ?        I      0:00 [kworker/10:0]
  69949 ?        I      0:00 [kworker/7:1]
  70090 ?        I      0:00 [kworker/u65:1-events_unbound]
  71984 ?        I      0:00 [kworker/3:2-rcu_par_gp]
  72039 ?        I      0:00 [kworker/11:0]
  74912 ?        I<     0:00 [kworker/u68:1-ttm]
  76147 ?        I      0:00 [kworker/u65:0-events_unbound]
  76661 ?        I      0:00 [kworker/u66:3-events_unbound]
  77900 ?        Sl     0:00 /usr/share/code/code /usr/share/code/resources/app/extensions/json-language-features/server/dist/node/jsonServerMain --node-ipc --clientProcessId=5543
  82226 ?        I      0:00 [kworker/6:1-cgroup_destroy]
  83067 ?        I      0:00 [kworker/u65:3-events_unbound]
  83602 ?        I      0:01 [kworker/u64:2-sdma0]
  86020 ?        I      0:00 [kworker/u66:4-events_unbound]
  88227 ?        I      0:00 [kworker/u64:1-sdma0]
  88756 ?        I      0:00 [kworker/5:0-cgroup_destroy]
  91964 ?        I      0:00 [kworker/9:0-rcu_par_gp]
  92016 ?        I      0:00 [kworker/1:1]
  92020 ?        I      0:00 [kworker/8:2-cgroup_destroy]
  92741 ?        I      0:00 [kworker/u65:2-events_unbound]
  94159 ?        I      0:00 [kworker/u64:0-comp_1.1.1]
  95327 pts/0    Sl+    0:08 /usr/bin/java -Djansi.mode=force -classpath /usr/share/maven/boot/plexus-classworlds-2.x.jar -Dclassworlds.conf=/usr/share/maven/bin/m2.conf -Dmaven.home=/usr/share/maven -Dlibrary.jansi.path=/usr/share/maven/lib/jansi-native -Dmaven.multiModuleProjectDirectory=/home/dam/Documentos/Repos/2DAM/PGV/unidad2/tarea2/procesos-servicios-consola org.codehaus.plexus.classworlds.launcher.Launcher clean spring-boot:run
  95419 pts/0    Sl+    0:01 /usr/lib/jvm/java-17-openjdk-amd64/bin/java -XX:TieredStopAtLevel=1 -cp /home/dam/Documentos/Repos/2DAM/PGV/unidad2/tarea2/procesos-servicios-consola/target/classes:/home/dam/.m2/repository/org/springframework/boot/spring-boot/3.3.3/spring-boot-3.3.3.jar:/home/dam/.m2/repository/org/springframework/spring-context/6.1.12/spring-context-6.1.12.jar:/home/dam/.m2/repository/org/springframework/spring-aop/6.1.12/spring-aop-6.1.12.jar:/home/dam/.m2/repository/org/springframework/spring-beans/6.1.12/spring-beans-6.1.12.jar:/home/dam/.m2/repository/org/springframework/spring-expression/6.1.12/spring-expression-6.1.12.jar:/home/dam/.m2/repository/io/micrometer/micrometer-observation/1.13.3/micrometer-observation-1.13.3.jar:/home/dam/.m2/repository/io/micrometer/micrometer-commons/1.13.3/micrometer-commons-1.13.3.jar:/home/dam/.m2/repository/org/springframework/boot/spring-boot-autoconfigure/3.3.3/spring-boot-autoconfigure-3.3.3.jar:/home/dam/.m2/repository/ch/qos/logback/logback-classic/1.5.7/logback-classic-1.5.7.jar:/home/dam/.m2/repository/ch/qos/logback/logback-core/1.5.7/logback-core-1.5.7.jar:/home/dam/.m2/repository/org/apache/logging/log4j/log4j-to-slf4j/2.23.1/log4j-to-slf4j-2.23.1.jar:/home/dam/.m2/repository/org/apache/logging/log4j/log4j-api/2.23.1/log4j-api-2.23.1.jar:/home/dam/.m2/repository/org/slf4j/jul-to-slf4j/2.0.16/jul-to-slf4j-2.0.16.jar:/home/dam/.m2/repository/jakarta/annotation/jakarta.annotation-api/2.1.1/jakarta.annotation-api-2.1.1.jar:/home/dam/.m2/repository/org/springframework/spring-core/6.1.12/spring-core-6.1.12.jar:/home/dam/.m2/repository/org/springframework/spring-jcl/6.1.12/spring-jcl-6.1.12.jar:/home/dam/.m2/repository/org/yaml/snakeyaml/2.2/snakeyaml-2.2.jar:/home/dam/.m2/repository/org/slf4j/slf4j-api/2.0.16/slf4j-api-2.0.16.jar org.formacion.procesos.ProcesosServiciosApplication
  95508 ?        S      0:00 /bin/sh -c "/usr/share/code/resources/app/out/vs/base/node/cpuUsage.sh" 54571
  95509 ?        S      0:00 /bin/bash /usr/share/code/resources/app/out/vs/base/node/cpuUsage.sh 54571
  95512 ?        S      0:00 sleep 1
  95514 pts/0    S+     0:00 sh -c ps -xa > mis_procesos.txt
  95515 pts/0    R+     0:00 ps -xa
